Strain,Stress
0.196414228,710.3651057
0.19691503,708.4533395
0.197415832,710.3605125
0.197916633,707.999854
0.198417435,710.0165002
0.198918236,708.5850833
0.199419038,712.3478215
0.19991984,713.3141853
0.200420641,710.4572456
0.200921443,712.6689813
0.201422244,714.0019742
0.201923046,715.0218818
0.202423848,713.63096
0.202924649,714.2586452
0.203425451,719.4207418
0.203926253,714.8372463
0.204427054,716.0116983
0.204927856,717.0750609
0.205428657,715.7830669
0.205929459,714.4296603
0.206430261,716.8557256
0.206931062,717.8849099
0.207431864,719.7325972
0.207932665,719.331829
0.208433467,720.4115824
0.208934269,720.749962
0.20943507,720.4133685
0.209935872,719.3400555
0.210436673,721.1352986
0.210937475,721.4965347
0.211438277,719.4157864
0.211939078,722.069386
0.21243988,720.8146268
0.212940681,721.1757022
0.213441483,721.0820576
0.213942285,722.3725634
0.214443086,721.9854027
0.214943888,722.6218138
0.215444689,726.315232
0.215945491,725.1188637
0.216446293,725.8801878
0.216947094,725.7834341
0.217447896,724.9318019
0.217948697,724.3983661
0.218449499,726.2964144
0.218950301,727.4521161
0.219451102,725.1030684
0.219951904,724.7547578
0.220452705,726.6135903
0.220953507,726.9775708
0.221454309,725.5938412
0.22195511,727.7060787
0.222455912,729.8550931
0.222956713,727.1515108
0.223457515,728.3662052
0.223958317,729.708081
0.224459118,729.5305441
0.22495992,730.4697477
0.225460721,732.0514668
0.225961523,729.6880238
0.226462325,730.9934084
0.226963126,729.5670352
0.227463928,727.2663329
0.227964729,728.696259
0.228465531,730.6639641
0.228966333,727.4376886
0.229467134,732.4493122
0.229967936,731.762542
0.230468737,730.8166555
0.230969539,730.6531051
0.231470341,732.862772
0.231971142,734.8594746
0.232471944,733.1864196
0.232972745,732.161303
0.233473547,732.5280624
0.233974349,734.1485678
0.23447515,733.1325265
0.234975952,733.6294434
0.235476754,733.996938
0.235977555,732.8927227
0.236478357,733.8324255
0.236979158,736.0017909
0.23747996,732.8618736
0.237980762,734.1824139
0.238481563,735.7944499
0.238982365,735.1679869
0.239483166,733.8379381
0.239983968,735.4966451
0.24048477,732.3793658
0.240985571,734.9125722
0.241486373,733.3054455
0.241987174,736.9714736
0.242487976,733.71568
0.242988778,737.7099965
0.243489579,735.6827968
0.243990381,732.979265
0.244491182,732.3081885
0.244991984,734.5976511
0.245492786,734.3174757
0.245993587,734.9910191
0.246494389,734.6683257
0.24699519,734.9718286
0.247495992,732.562086
0.247996794,736.8642316
0.248497595,735.3037054
0.248998397,734.8267582
0.249499198,735.1948526
0.25,733.7288095
